,bacen_code,nm_serie,unit,periodicity,source,special
163,172,Fundo de conversão-capital estrangeiro - Aplicações em debêntures,u.m.c. (mil),M,Sisbacen PESP300,N
164,173,Fundo de conversão-capital estrangeiro - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PESP300,N
165,174,Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos,u.m.c. (mil),M,Sisbacen PESP300,N
166,175,Fundo de conversão-capital estrangeiro - Outras aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
167,176,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos federais,u.m.c. (mil),M,Sisbacen PESP300,N
168,177,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa,u.m.c. (mil),M,Sisbacen PESP300,N
169,178,Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários,u.m.c. (mil),M,Sisbacen PESP300,N
170,179,Fundo de renda fixa-capital estrangeiro - Aplicações em quotas de fundos,u.m.c. (mil),M,Sisbacen PESP300,N
171,180,Fundo de renda fixa-capital estrangeiro - Aplicações em ações,u.m.c. (mil),M,Sisbacen PESP300,N
172,181,Depósitos especiais remunerados - Crédito rural,u.m.c. (mil),M,Sisbacen PDER300,N
173,182,Depósitos especiais remunerados - Depósito interfinanceiro rural,u.m.c. (mil),M,Sisbacen PDER300,N
174,183,Depósitos especiais remunerados - Recolhimento especial remunerado,u.m.c. (mil),M,Sisbacen PDER300,N
175,184,Depósitos especiais remunerados - Operações com lastro do SFH,u.m.c. (mil),M,Sisbacen PDER300,N
176,185,Depósitos especiais remunerados - Títulos federais,u.m.c. (mil),M,Sisbacen PDER300,N
177,186,Depósitos especiais remunerados - Títulos estaduais ou municipais,u.m.c. (mil),M,Sisbacen PDER300,N
178,187,Depósitos especiais remunerados - Circular 2369,u.m.c. (mil),M,Sisbacen PDER300,N
179,188,Índice nacional de preços ao consumidor (INPC),Var. % mensal,M,IBGE,N
180,189,Índice geral de preços do mercado (IGP-M),Var. % mensal,M,FGV,N
181,190,Índice geral de preços-disponibilidade interna (IGP-DI),Var. % mensal,M,FGV,N
182,191,Índice de preços ao consumidor-Brasil (IPC-Br),Var. % mensal,M,FGV,N
183,192,Índice nacional de custo da construção (INCC),Var. % mensal,M,FGV,N
184,193,Índice de preços ao consumidor-São Paulo (IPC-Fipe),Var. % mensal,M,Fipe,N
185,194,Índice de custo de vida (ICV),Var. % mensal,M,Dieese,N
186,195,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período,% a.m.,D,BCB-Demab,S
187,196,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período (1º dia do mês),% a.m.,M,BCB-Demab,N
188,204,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade adicional no período,% a.m.,D,BCB-Demab,S
189,206,Cesta básica,u.m.c.,M,Procon-SP,N
190,207,Poupança SBPE - Exigibilidades,u.m.c. (mil),M,Sisbacen PESP300,N
191,208,Poupança SBPE - Aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
192,209,Poupança rural - Exigibilidades,u.m.c. (mil),M,Sisbacen PESP300,N
193,210,Poupança rural - Aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
194,212,Fundo de aplicações financeiras - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PESP300,N
195,213,Fundo de renda fixa-curto prazo - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PFAF360,N
196,214,Fundo de renda fixa-curto prazo - Captação líquida,u.m.c. (mil),D,Sisbacen PFAF360,N
197,215,Fundo de renda fixa-curto prazo - Rentabilidade diária (%),% a.d.,D,Sisbacen PFAF360,N
198,216,Fundo de renda fixa-curto prazo - Aplicações em depósitos obrigatórios,u.m.c. (mil),M,Sisbacen PFAF360,N
199,217,Fundo de renda fixa-curto prazo - Aplicações em operações compromissadas,u.m.c. (mil),M,Sisbacen PFAF360,N
200,218,Fundo de renda fixa-curto prazo - Aplicações em quotas FIEX,u.m.c. (mil),M,Sisbacen PFAF360,N
201,219,Fundo de renda fixa-curto prazo - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PFAF360,N
202,220,Fundo de renda fixa-curto prazo - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PFAF360,N
203,221,Fundo de renda fixa-curto prazo - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PFAF360,N
204,222,Fundo de renda fixa-curto prazo - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,Sisbacen PFAF360,N
205,225,Índice de preços ao produtor amplo,Var. % mensal,M,FGV,N
206,226,Taxa referencial (TR),% a.m.,D,BCB-Demab,S
207,227,Taxa referencial pro-rata (TR pro-rata),% a.d.,D,BCB-Demab,S
208,228,Taxa de juros - Índice diário de remuneração médio (IDRM),A definir,D,BCB-DSTAT,N
209,229,Índice de preços ao consumidor-série r (IPC-r),Var. % mensal,M,IBGE,N
210,230,Fundo de comodities - Aplicações em direitos creditórios cotas-partes,u.m.c. (mil),M,Sisbacen PESP300,N
211,231,Fundo de comodities - Aplicações em quotas FIEX,u.m.c. (mil),M,Sisbacen PESP300,N
212,232,Fundo de comodities - Outras aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
213,233,Fundo de investimento-capital estrangeiro - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
214,234,Fundo de investimento-capital estrangeiro - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
215,235,Fundo de investimento-capital estrangeiro - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
216,236,Fundo de conversão-capital estrangeiro - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
217,237,Fundo de conversão-capital estrangeiro - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
218,238,Fundo de conversão-capital estrangeiro - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
219,239,Saldo diário de depósitos de poupança - SBPE,u.m.c. (mil),D,Sisbacen PESP300,N
220,240,Captação líquida diária de depósitos de poupança - SBPE,u.m.c. (mil),D,Sisbacen PESP300,N
221,241,Saldo diário de depósitos de poupança - Rural,u.m.c. (mil),D,Sisbacen PESP300,N
222,242,Captação líquida diária de depósitos de poupança - Rural,u.m.c. (mil),D,Sisbacen PESP300,N
223,243,Captação líquida prefixada de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,Sisbacen PESP300,N
224,244,Captação líquida pós-fixada de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,Sisbacen PESP300,N
225,245,Captação prefixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,Sisbacen PESP300,N
226,246,Captação prefixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,Sisbacen PESP300,N
227,247,Captação prefixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,Sisbacen PESP300,N
228,248,Captação prefixada de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,Sisbacen PESP300,N
229,249,Captação pós-fixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,Sisbacen PESP300,N
230,250,Captação pós-fixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,Sisbacen PESP300,N
231,251,Captação pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,Sisbacen PESP300,N
232,252,Captação pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,Sisbacen PESP300,N
233,253,Taxa básica financeira (TBF),% a.m.,D,BCB-Demab,S
234,254,Taxa básica financeira pro-rata (TBF pro-rata),% a.d.,D,BCB-Demab,S
235,256,Taxa de juros de longo prazo - TJLP,% a.a.,M,BCB-Demab,N
236,257,Fundo de investimento financeiro - FIF CP - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PFIF300,N
237,258,Fundo de investimento financeiro - FIF CP - Captação líquida,u.m.c. (mil),D,Sisbacen PFIF300,N
